"","Assessment_score","highest_education","final_result","gender","disability","num_of_prev_attempts","age_band"
"1",-0.792534586212567,-1.04345901377596,"1",2,1,0,2
"2",-0.940381242261054,0.280683192339735,"1",2,1,0,2
"3",-0.92121593499551,-1.04345901377596,"1",1,1,0,2
"4",-0.672066940543429,0.280683192339735,"1",2,1,0,1
"5",-0.354470420142975,1.60482539845543,"1",2,1,0,2
"6",-0.138176238146114,1.60482539845543,"1",2,1,0,2
"7",0.0425252303575924,1.60482539845543,"1",2,1,0,2
"8",-0.913002231881705,0.280683192339735,"1",2,1,0,2
"9",0.683194073234371,0.280683192339735,"1",1,2,0,1
"10",0.798185916827639,0.280683192339735,"1",2,1,0,1
"11",-1.05537308585432,-1.04345901377596,"1",2,1,0,1
"12",0.929605166648516,0.280683192339735,"1",1,1,0,2
"13",1.0226938019383,1.60482539845543,"1",1,1,0,1
"14",0.98162528636928,1.60482539845543,"1",2,1,0,2
"15",0.469637792275444,-2.36760121989166,"1",2,1,0,1
"16",0.365597552833916,-1.04345901377596,"1",1,2,0,2
"17",0.891274552117427,2.92896760457113,"1",1,1,0,2
"18",1.21982267666962,-1.04345901377596,"1",2,1,0,2
"19",-1.02799407547497,0.280683192339735,"1",2,2,0,1
"20",-0.828127299705722,0.280683192339735,"1",1,1,0,1
"21",0.98162528636928,1.60482539845543,"1",2,1,0,2
"22",1.22529847874549,0.280683192339735,"1",2,1,0,2
"23",0.978887385331345,1.60482539845543,"1",2,1,1,1
"24",0.316315334151087,1.60482539845543,"1",2,1,0,2
"25",-0.302450300422211,-1.04345901377596,"1",2,1,0,2
"26",0.0835937459266166,0.280683192339735,"1",1,1,0,2
"27",-0.184720555791008,1.60482539845543,"1",1,1,0,2
"28",-1.17036492944759,-1.04345901377596,"1",1,1,0,1
"29",-0.735038664415933,-1.04345901377596,"1",1,1,0,1
"30",-0.871933716312681,0.280683192339735,"1",1,1,0,2
"31",-0.784320883098762,0.280683192339735,"1",2,1,0,2
"32",-0.10258352465296,-1.04345901377596,"1",2,1,2,1
"33",-0.724087060264193,-1.04345901377596,"1",2,1,0,2
"34",0.967935781179605,0.280683192339735,"1",2,1,0,1
"35",0.43404507878229,0.280683192339735,"1",1,1,0,2
"36",0.253343610278583,-1.04345901377596,"1",1,1,0,1
"37",-0.0341359987045862,1.60482539845543,"1",2,1,0,1
"38",0.68866987531024,1.60482539845543,"1",1,1,0,2
"39",1.23898798393517,0.280683192339735,"1",2,1,0,1
"40",0.46689989123751,-1.04345901377596,"1",2,1,0,1
"41",0.160254974988795,0.280683192339735,"1",2,1,1,1
"42",-0.179244753715139,0.280683192339735,"1",2,1,0,1
"43",1.05281071335559,-1.04345901377596,"1",2,1,0,1
"44",1.16232675487299,0.280683192339735,"1",2,1,0,1
"45",-0.745990268567673,0.280683192339735,"1",1,1,1,2
"46",-0.332567211839496,1.60482539845543,"1",2,1,0,2
"47",0.529871615110013,1.60482539845543,"1",2,1,1,1
"48",1.18149206213853,0.280683192339735,"1",2,2,1,1
"49",-0.592667810443316,0.280683192339735,"1",1,1,0,1
"50",-0.800748289326372,0.280683192339735,"1",2,1,0,1
"51",0.683194073234371,-1.04345901377596,"1",2,1,0,2
"52",-0.89931272669203,1.60482539845543,"1",2,1,0,2
