"Assessment_score","highest_education","final_result","gender","disability","num_of_prev_attempts","age_band"
1.15763881752787,0.271868400610561,1,1,1,0,2
2.38991042740869,1.60977081474842,1,2,1,1,1
2.38991042740869,1.60977081474842,1,2,1,0,1
0.53461111320333,-1.06603401352729,1,1,1,0,2
-0.854795802635456,0.271868400610561,1,2,1,0,1
-0.659065860126421,-1.06603401352729,1,1,1,0,2
1.19071993457165,-1.06603401352729,1,2,1,0,1
1.187963174818,0.271868400610561,1,2,1,1,2
-0.342038488456856,1.60977081474842,1,1,1,0,2
0.824070887336411,0.271868400610561,1,2,1,0,1
-0.722471334460333,0.271868400610561,1,2,1,0,1
-0.275876254369295,0.271868400610561,1,1,1,0,2
1.16039557728151,-1.06603401352729,1,2,1,0,1
-0.741768652735872,1.60977081474842,1,2,1,0,1
2.29066707627735,0.271868400610561,1,2,1,0,2
2.29066707627735,0.271868400610561,1,2,1,0,2
1.14385501875962,0.271868400610561,1,2,1,0,2
-0.832741724606269,-1.06603401352729,1,1,1,0,2
0.802016809307224,0.271868400610561,1,1,1,0,1
1.3588822795442,1.60977081474842,1,2,1,0,1
1.07217926516477,-1.06603401352729,1,1,1,0,2
1.0060170310772,0.271868400610561,1,2,1,0,1
-0.700417256431146,0.271868400610561,1,2,1,0,2
1.02531434935274,1.60977081474842,1,2,1,0,2
-0.703174016184795,-1.06603401352729,1,2,1,0,2
-0.325497929934966,0.271868400610561,1,1,1,0,1
-0.325497929934966,0.271868400610561,1,2,1,0,2
-0.791390328301543,1.60977081474842,1,2,1,0,2
0.0439078770539177,1.60977081474842,1,2,1,0,2
0.724827536205069,1.60977081474842,1,1,1,0,2
1.0914765834403,0.271868400610561,1,2,1,0,2
0.529097593696033,0.271868400610561,1,1,1,0,2
-0.976093231795985,0.271868400610561,1,1,1,0,1
1.30374708447123,1.60977081474842,1,2,1,0,2
-0.358579046978747,-1.06603401352729,1,1,1,0,1
1.24585512964461,1.60977081474842,1,2,1,0,2
1.21828753210813,0.271868400610561,1,2,1,0,2
1.05563870664288,0.271868400610561,1,1,1,0,2
0.573205749754408,1.60977081474842,1,2,1,0,2
1.03082786886004,1.60977081474842,1,1,1,0,1
0.989476472555314,1.60977081474842,1,2,1,0,2
1.01428731033815,1.60977081474842,1,1,1,0,2
-0.667336139387366,1.60977081474842,1,1,1,0,1
